entity,project,run_name,run_id,state,created_at,url
s7rakuma-uob,pepper-segmentation-grid-colorjitter-moderate,"image_size[640, 360]_batch_size3_learning_rate2e-4_epochs100_log_freq10_colorjitter_prob0.5_brightness0.7 1.3_contrast0.7 1.3_saturation0.7 1.3_hue-0.05 0.05",jxfih4sh,finished,2025-09-16T18:26:21Z,https://wandb.ai/s7rakuma-uob/pepper-segmentation-grid-colorjitter-moderate/runs/jxfih4sh
s7rakuma-uob,pepper-segmentation-grid-colorjitter-aggressive,"image_size[640, 360]_batch_size3_learning_rate2e-4_epochs100_log_freq10_colorjitter_prob0.5_brightness0.65 1.35_contrast0.65 1.35_saturation0.65 1.35_hue-0.05 0.05",sfn9mz72,finished,2025-09-16T12:01:32Z,https://wandb.ai/s7rakuma-uob/pepper-segmentation-grid-colorjitter-aggressive/runs/sfn9mz72
s7rakuma-uob,pepper-segmentation-grid-colorjitter-low,"image_size[640, 360]_batch_size3_learning_rate2e-4_epochs100_log_freq10_colorjitter_prob0.5_brightness0.9 1.1_contrast0.9 1.1_saturation0.9 1.1_hue-0.05 0.05",d0ujmv10,finished,2025-09-16T15:18:13Z,https://wandb.ai/s7rakuma-uob/pepper-segmentation-grid-colorjitter-low/runs/d0ujmv10
s7rakuma-uob,pepper-segmentation-grid-blur-aggressive,"image_size[640, 360]_batch_size3_learning_rate2e-4_epochs100_log_freq10_blur_prob0.5_blur_kernel15_blur_sigma1.5",jmzn8g8q,finished,2025-09-15T22:43:31Z,https://wandb.ai/s7rakuma-uob/pepper-segmentation-grid-blur-aggressive/runs/jmzn8g8q
s7rakuma-uob,pepper-segmentation-grid-blur-aggressive,"image_size[640, 360]_batch_size3_learning_rate2e-4_epochs100_log_freq10_blur_prob0.5_blur_kernel15_blur_sigma2.0",nwkwiu0w,finished,2025-09-16T01:46:17Z,https://wandb.ai/s7rakuma-uob/pepper-segmentation-grid-blur-aggressive/runs/nwkwiu0w
s7rakuma-uob,pepper-segmentation-grid-blur-moderate,"image_size[640, 360]_batch_size3_learning_rate2e-4_epochs100_log_freq10_blur_prob0.5_blur_kernel5_blur_sigma0.5",qwyxs590,finished,2025-09-16T04:50:28Z,https://wandb.ai/s7rakuma-uob/pepper-segmentation-grid-blur-moderate/runs/qwyxs590
s7rakuma-uob,pepper-segmentation-grid-blur-moderate,"image_size[640, 360]_batch_size3_learning_rate2e-4_epochs100_log_freq10_blur_prob0.5_blur_kernel5_blur_sigma1.5",096k0uzz,finished,2025-09-16T07:51:37Z,https://wandb.ai/s7rakuma-uob/pepper-segmentation-grid-blur-moderate/runs/096k0uzz
s7rakuma-uob,pepper-segmentation-grid-blur-low,"image_size[640, 360]_batch_size3_learning_rate2e-4_epochs100_log_freq10_blur_prob0.5_blur_kernel3_blur_sigma0.1",8rhut0f6,finished,2025-09-15T16:37:10Z,https://wandb.ai/s7rakuma-uob/pepper-segmentation-grid-blur-low/runs/8rhut0f6
s7rakuma-uob,pepper-segmentation-grid-blur-low,"image_size[640, 360]_batch_size3_learning_rate2e-4_epochs100_log_freq10_blur_prob0.5_blur_kernel3_blur_sigma0.5",8pfn4j3b,finished,2025-09-15T19:40:06Z,https://wandb.ai/s7rakuma-uob/pepper-segmentation-grid-blur-low/runs/8pfn4j3b
s7rakuma-uob,pepper-segmentation-grid-resize,"image_size[256, 144]_batch_size3_learning_rate2e-4_epochs100_log_freq10",is4lg0cl,finished,2025-09-14T11:52:54Z,https://wandb.ai/s7rakuma-uob/pepper-segmentation-grid-resize/runs/is4lg0cl
s7rakuma-uob,pepper-segmentation-grid-resize,"image_size[512, 288]_batch_size3_learning_rate2e-4_epochs100_log_freq10",onw5ieie,finished,2025-09-14T13:45:35Z,https://wandb.ai/s7rakuma-uob/pepper-segmentation-grid-resize/runs/onw5ieie
